city,primary_category,secondary_category,shop_name,avg_price,review_count,rating
深圳市,美食,日式料理,炙柒Sekinana·精致料理 烧鸟·铁板烧(万象汇店),133,4780,4.5
深圳市,美食,日式料理,何止料理(红山6979店),58,1652,4.5
深圳市,美食,日式料理,寿司郎(星河WORLD·COCO Park店),93,1589,4.0
深圳市,美食,日式料理,小森师傅(皇庭广场店),98,2926,4.5
深圳市,美食,日式料理,摩打食堂(壹方中心店),131,3005,4.5
深圳市,美食,日式料理,森田·关西风寿喜烧(深圳湾万象城店),221,1160,5.0
深圳市,美食,日式料理,滨寿司(深圳连城新天地店),83,1854,4.0
深圳市,美食,日式料理,肉肉大米(深圳金光华店),78,735,4.0
深圳市,美食,日式料理,云璟高空铁板烧·料理·生日宴·商务聚会(福田灯光秀...,172,3051,5.0
深圳市,美食,日式料理,本源食集 日式烧肉·炉端烧(东海缤纷店),260,4751,5.0
深圳市,美食,日式料理,岚山庭日本料理(福田店),350,3929,4.5
深圳市,美食,日式料理,鸟鹏烧鸟居酒屋(高新园店),127,4896,4.5
深圳市,美食,日式料理,平成屋·栀子花(深圳首店万象天地店),125,3167,4.0
深圳市,美食,日式料理,鸟剑居酒屋(西丽万科店),150,567,4.5
深圳市,美食,日式料理,鳗次郎·鳗鱼专门店(南山店),119,2838,4.5
深圳市,美食,日式料理,鸟鹏烧鸟居酒屋(购物公园店),127,2293,5.0
深圳市,美食,日式料理,渡来料亭(福田本店),450,4021,4.5
深圳市,美食,日式料理,寿司郎(深圳天虹龙华店),94,4055,4.5
深圳市,美食,日式料理,CURRY YA 熟成咖哩專門店(深圳湾万象城店),91,3648,4.0
深圳市,美食,日式料理,肉肉大米(深圳布吉万象汇店),77,2325,4.5
深圳市,美食,日式料理,天妇罗内顺田(罗湖店),61,1499,5.0
深圳市,美食,日式料理,老乾杯(深圳湾万象城店),630,3739,4.5
深圳市,美食,日式料理,燔太师 Fantastic Yaki(万象天地店),241,856,4.5
深圳市,美食,日式料理,一王料理·天妇罗(万科云城店),84,1672,4.5
深圳市,美食,日式料理,常虹·铁板料理(深圳湾后海汇店),1088,1352,4.5
深圳市,美食,日式料理,享·日料铁板烧(印力店),126,5413,4.5
深圳市,美食,日式料理,鮨·匠龍(罗湖 KK TIME店),249,2265,5.0
深圳市,美食,日式料理,晴空·日本料理(万象城店),2085,1267,4.5
深圳市,美食,日式料理,乌君·ARK酒场·炭火烧鸟·刺身(深业上城店),186,1272,4.0
深圳市,美食,日式料理,大阪烧肉BAKA一代(国贸店),199,10244,4.5
深圳市,美食,日式料理,岩盐·铁板料理(嘉里店),480,2502,4.5
深圳市,美食,日式料理,Sushi Hanzo半藏(深圳万象城店),216,2309,4.0
深圳市,美食,日式料理,摩打食堂(皇庭广场店),121,6754,4.5
深圳市,美食,日式料理,莺匠·江户前料理,488,574,5.0
