city,primary_category,secondary_category,shop_name,avg_price,review_count,rating
深圳市,美食,自助餐,曼格蒸汽活海鲜·榴莲自助(宝安大仟里国潮店),252,27610,4.5
深圳市,美食,自助餐,星龙吟·日料放题(福田店),280,27016,4.0
深圳市,美食,自助餐,满陇山房·膏蟹年糕馆(平安金融中心店),175,2628,4.5
深圳市,美食,自助餐,铭门盛宴·艺术海鲜姿造(南山店),298,15219,4.0
深圳市,美食,自助餐,青蓬海上捞蒸品海鲜城(万象城店),198,11731,5.0
深圳市,美食,自助餐,舟市水产蒸汽活海鲜自助(卓悦汇店),261,8305,4.0
深圳市,美食,自助餐,千户岛じま·日料放题(福田店),433,513,4.0
深圳市,美食,自助餐,铭门盛宴·艺术海鲜姿造(福田黑金店),408,10639,4.0
深圳市,美食,自助餐,西塔老太太泥炉烤肉(万象天地店),110,5944,4.5
深圳市,美食,自助餐,舟市水产蒸汽活海鲜自助(金光华店),260,14463,4.5
深圳市,美食,自助餐,狮拾久·现代新加坡料理(福田COCO Park店),220,10870,4.5
深圳市,美食,自助餐,蒲匠·和牛烧肉蒲烧活鳗料理放题(深业上城黑金店),239,4124,4.0
深圳市,美食,自助餐,西塔老太太泥炉烤肉(宝安壹方城店),108,9282,4.5
深圳市,美食,自助餐,拉蒂娜·巴西牛排馆 Latina·Brazilian Steakhouse(深...,289,2089,4.5
深圳市,美食,自助餐,大葉日本料理·活龍蝦任食放題(皇庭中心店),569,16006,4.0
深圳市,美食,自助餐,西塔老太太泥炉烤肉(领展中心城店),110,10923,5.0
深圳市,美食,自助餐,蒲匠·和牛烧肉蒲烧活鳗放题(深圳首店),243,8936,5.0
深圳市,美食,自助餐,四海一家自助餐(益田假日广场店),183,42158,3.5
深圳市,美食,自助餐,西塔老太太泥炉烤肉(龙岗星河COCOPARK店),105,11517,5.0
深圳市,美食,自助餐,欢造·和牛放题(深圳首店),118,1568,4.5
深圳市,美食,自助餐,西塔老太太泥炉烤肉(南山旗舰店),110,14468,4.5
深圳市,美食,自助餐,俄士厨房·西餐厅(华南首店),108,11017,4.5
深圳市,美食,自助餐,渔舶汇蒸汽活海鲜·榴莲自助(大悦城黑金店),244,1931,4.0
深圳市,美食,自助餐,西塔老太太泥炉烤肉(KKone店),108,10918,4.5
深圳市,美食,自助餐,P3 by pLeace(福田cocopark店),113,5747,4.5
深圳市,美食,自助餐,一绪に和牛寿喜烧(龙华壹方天地店),201,12999,5.0
深圳市,美食,自助餐,曼格蒸汽活海鲜·榴莲自助(皇庭广场店),272,7322,4.0
