city,primary_category,secondary_category,shop_name,avg_price,review_count,rating
深圳市,美食,自助餐,顶界•全球蒸汽海鲜自助(龙华壹方天地店),253,2105,4.0
深圳市,美食,自助餐,西塔老太太泥炉烤肉(喜荟城店),108,7839,5.0
深圳市,美食,自助餐,瑞吉酒店·Social秀餐厅·云端自助·俯瞰湾区,356,9384,4.0
深圳市,美食,自助餐,姜胖胖无限自助烤肉(南山海岸城保利店),78,2893,4.0
深圳市,美食,自助餐,食冶海鲜放题(南山海岸城店),303,11909,3.5
深圳市,美食,自助餐,欢乐牧场主题自助料理(红山6979店),134,10945,4.0
深圳市,美食,自助餐,pLeace(印力中心店),99,892,4.5
深圳市,美食,自助餐,一绪に和牛寿喜烧(坂田万科广场店),190,3826,4.0
深圳市,美食,自助餐,顶界•全球蒸汽海鲜自助(华强北中航城店),257,1073,4.0
深圳市,美食,自助餐,欢乐牧场主题自助料理(西丽宝能店),133,20052,4.0
深圳市,美食,自助餐,顶界·全球蒸汽海鲜自助(福田皇庭广场店),257,880,4.0
深圳市,美食,自助餐,浅锅日式和牛小锅放题·寿喜烧(海岸城店),252,7904,4.0
深圳市,美食,自助餐,浅锅山海食集·和牛寿喜烧放题(深业上城店),258,2196,4.5
深圳市,美食,自助餐,曼格蒸汽活海鲜·榴莲自助(光明大仟里店),282,19590,4.5
深圳市,美食,自助餐,大渔铁板烧(保利文化广场店),214,10270,3.5
深圳市,美食,自助餐,大渔铁板烧(龙华天虹购物中心店),212,382,4.0
深圳市,美食,自助餐,灼灼木自助寿司·任点任食(深圳首店),59,125,3.5
深圳市,美食,自助餐,汉阳廷自助烤肉·火锅(皇庭广场店),107,21356,4.0
深圳市,美食,自助餐,欢乐牧场主题自助料理(雅宝星河店),131,947,4.5
深圳市,美食,自助餐,鹏瑞莱佛士酒店·星空坊Sky Café,735,4654,4.5
深圳市,美食,自助餐,大渔烧肉(保利Kaledo店),176,1289,4.0
深圳市,美食,自助餐,顶界•全球蒸汽海鲜自助(龙岗万科广场店),249,1729,4.0
深圳市,美食,自助餐,顶界•全球蒸汽海鲜自助(下沙KKone店),260,611,4.0
深圳市,美食,自助餐,牛大帅天天鲜自助牛肉海鲜火锅城,86,837,4.0
深圳市,美食,自助餐,曼格蒸汽活海鲜·榴莲自助(罗湖益田店),283,3539,4.0
深圳市,美食,自助餐,食冶海鲜放题(宝安壹方城店),296,12540,3.5
深圳市,美食,自助餐,汉阳廷自助烤肉·火锅(华强北中航城君尚店),104,11938,4.0
深圳市,美食,自助餐,喜庭海鲜自助(海雅缤纷城店),161,5733,4.0
深圳市,美食,自助餐,喜公馆(侨城坊店),260,1152,5.0
深圳市,美食,自助餐,彭年万丽酒店·云景轩旋转餐厅 · 云端聚会约会,281,4208,4.0
深圳市,美食,自助餐,深圳南山香格里拉·Café 66·全日餐厅,366,1481,4.5
深圳市,美食,自助餐,深圳中洲万豪酒店·南山尚膳自助餐,388,4139,4.5
深圳市,美食,自助餐,Café Chinois海鲜自助西餐厅-开海季(金茂深圳JW万豪...,249,6391,4.0
深圳市,美食,自助餐,舟市水产活海鲜·榴莲自助(龙华观澜湖店),226,8500,4.0
深圳市,美食,自助餐,浅锅和牛小锅放题·烤榴莲·寿喜烧(壹方城店),241,9772,4.0
深圳市,美食,自助餐,大渔铁板烧(皇庭广场店),222,1592,3.5
深圳市,美食,自助餐,领鲜活海鲜自助火锅(东门店),158,18636,4.0
深圳市,美食,自助餐,大渔铁板烧(佳宁娜店),210,9177,4.0
深圳市,美食,自助餐,大阪烧肉BAKA一代·自助放题(龙岗店),136,1890,4.5
深圳市,美食,自助餐,鼎香缘·海鲜烤肉火锅自助餐厅(深圳来福士广场店),186,4716,4.0
深圳市,美食,自助餐,深圳文华东方酒店·叁餐·Bazaar·全日餐厅,604,1166,4.0
深圳市,美食,自助餐,鲜咖啡·海鲜自助餐厅Café Zen(深圳福田香格里拉店),346,6155,4.5
深圳市,美食,自助餐,深圳南山伊敦酒店·玲珑自助餐厅·看山观海,198,293,4.5
深圳市,美食,自助餐,青蓬四季·粤式海鲜姿造·打边炉,248,3066,5.0
深圳市,美食,自助餐,牛天宝自助牛肉串串香(宝安海雅店),85,2971,4.5
深圳市,美食,自助餐,大渔铁板烧(宝能中心环球汇店),214,3879,4.0
深圳市,美食,自助餐,极上大喜锅•鲜活海鲜/精品和牛/榴莲自助餐(佐阾虹湾店...,122,3011,4.0
深圳市,美食,自助餐,東22·粵潮菜·海鮮火鍋東寶,500,998,5.0
深圳市,美食,自助餐,汉阳廷自助烤肉·火锅(壹方天地店),94,13252,4.0
深圳市,美食,自助餐,友记卜卜贝·海鲜放题火锅(龙岗万达店),93,2098,5.0
深圳市,美食,自助餐,大渔铁板烧(卓悦汇店),215,5916,3.5
深圳市,美食,自助餐,大渔铁板烧(龙华壹方天地D区店),216,1737,3.5
深圳市,美食,自助餐,大中华希尔顿酒店 念 全日制自助餐厅·亲子·聚餐,188,6697,4.0
深圳市,美食,自助餐,牛天宝自助牛肉串串香(福田车公庙店),83,1541,4.0
深圳市,美食,自助餐,南里奥巴西烤肉(观澜湖MHmall店),126,9837,4.5
深圳市,美食,自助餐,马厂老火锅(深圳梅林店),80,1294,5.0
深圳市,美食,自助餐,梵廷·铁板烧·日料自助放题(十年老品牌·深圳首店),217,726,4.0
深圳市,美食,自助餐,大渔铁板烧(宝安大仟里店),213,4156,3.5
深圳市,美食,自助餐,深圳温德姆至尊酒店–趣味·海鲜·榴莲自助餐,195,5926,4.0
深圳市,美食,自助餐,憨孃孃·重庆老火锅(购物公园黑金店),95,12761,4.0
深圳市,美食,自助餐,喜井无限自助烤肉公司(东门老街地铁站),73,7730,4.0
深圳市,美食,自助餐,喜井无限自助烤肉公司(罗湖益田假日店),69,1620,4.0
深圳市,美食,自助餐,喜井无限自助烤肉公司(宝安海雅缤纷城店),73,2759,4.0
深圳市,美食,自助餐,FLAVORZ海鲜自助餐厅(丽思卡尔顿酒店),346,3483,4.0
深圳市,美食,自助餐,深铁铂尔曼酒店·星璞西餐厅·高空自助餐,213,1270,5.0
深圳市,美食,自助餐,大渔铁板烧(万丰海岸城店),216,1716,4.0
